item_id,brand_id,code,rgb,series_id,pencil_name,color_id,order,inv_qty,wish_qty
94364865,45853241,OP 093,"{""b"": 66, ""g"": 60, ""r"": 163}",NULL,"{""en"": ""mahogany"", ""ja"": ""マホガニー""}",NULL,24,0,0
95108715,93698434,107,"{""b"": 48, ""g"": 213, ""r"": 255}",NULL,"{""en"": ""cadmium yellow"", ""ja"": """"}",NULL,8,0,0
95610833,45853241,OP 437,"{""b"": 171, ""g"": 110, ""r"": 211}",NULL,"{""en"": ""cosmos"", ""ja"": ""コスモス""}",NULL,110,0,0
95861329,45853241,OP 274,"{""b"": 133, ""g"": 183, ""r"": 129}",NULL,"{""en"": ""mint green"", ""ja"": ""ミントグリーン""}",NULL,77,0,0
96081697,45853241,OP 264,"{""b"": 63, ""g"": 121, ""r"": 57}",NULL,"{""en"": ""holly green"", ""ja"": ""ホリーグリーン""}",NULL,71,0,0
96250319,45853241,OP 511,"{""b"": 38, ""g"": 34, ""r"": 30}",NULL,"{""en"": ""lamp black"", ""ja"": ""ランプブラック""}",NULL,126,0,0
96506542,93698434,146,"{""b"": 223, ""g"": 178, ""r"": 134}",NULL,"{""en"": ""sky blue"", ""ja"": """"}",NULL,47,0,0
97209077,93698434,235,"{""b"": 88, ""g"": 87, ""r"": 87}",NULL,"{""en"": ""cold grey VI"", ""ja"": """"}",NULL,115,0,0
98327556,93698434,175,"{""b"": 72, ""g"": 73, ""r"": 71}",NULL,"{""en"": ""dark sepia"", ""ja"": """"}",NULL,103,0,0
98489344,93698434,186,"{""b"": 89, ""g"": 142, ""r"": 236}",NULL,"{""en"": ""terracotta"", ""ja"": """"}",NULL,90,0,0
98837040,93698434,117,"{""b"": 68, ""g"": 85, ""r"": 240}",NULL,"{""en"": ""light cadmium red"", ""ja"": """"}",NULL,14,0,0
99511756,45853241,OP 076,"{""b"": 143, ""g"": 137, ""r"": 188}",NULL,"{""en"": ""ash rose"", ""ja"": ""アッシュローズ""}",NULL,21,0,0
99523116,93698434,176,"{""b"": 84, ""g"": 89, ""r"": 108}",NULL,"{""en"": ""Van Dyck brown"", ""ja"": """"}",NULL,98,0,0
99776112,93698434,191,"{""b"": 131, ""g"": 124, ""r"": 231}",NULL,"{""en"": ""Pompeian red"", ""ja"": """"}",NULL,86,0,0
