brand,series,pencil_color,code,order,english,japanese,pencil_name
12352984,50327955,,75,4,Indian red,,"{""ja"":"""", ""en"": ""Indian red""}"
12352984,50327955,,89,5,dark carmine,,"{""ja"":"""", ""en"": ""dark carmine""}"
12352984,50327955,,80,6,carmine,,"{""ja"":"""", ""en"": ""carmine""}"
12352984,50327955,,280,7,ruby red,,"{""ja"":"""", ""en"": ""ruby red""}"
12352984,50327955,,270,8,raspberry red,,"{""ja"":"""", ""en"": ""raspberry red""}"
12352984,50327955,,81,9,pink,,"{""ja"":"""", ""en"": ""pink""}"
12352984,50327955,,82,10,rose pink,,"{""ja"":"""", ""en"": ""rose pink""}"
12352984,50327955,,71,11,salmon pink,,"{""ja"":"""", ""en"": ""salmon pink""}"
12352984,50327955,,51,12,salmon,,"{""ja"":"""", ""en"": ""salmon""}"
12352984,50327955,,41,13,apricot,,"{""ja"":"""", ""en"": ""apricot""}"
12352984,50327955,,493,14,granite rose,,"{""ja"":"""", ""en"": ""granite rose""}"
12352984,50327955,,91,15,light purple,,"{""ja"":"""", ""en"": ""light purple""}"
12352984,50327955,,350,16,purplish red,,"{""ja"":"""", ""en"": ""purplish red""}"
12352984,50327955,,90,17,purple,,"{""ja"":"""", ""en"": ""purple""}"
12352984,50327955,,100,18,purple violet,,"{""ja"":"""", ""en"": ""purple violet""}"
12352984,50327955,,110,19,lilac,,"{""ja"":"""", ""en"": ""lilac""}"
12352984,50327955,,99,20,aubergine,,"{""ja"":"""", ""en"": ""aubergine""}"
12352984,50327955,,111,21,mauve,,"{""ja"":"""", ""en"": ""mauve""}"
12352984,50327955,,131,22,periwinkle blue,,"{""ja"":"""", ""en"": ""periwinkle blue""}"
12352984,50327955,,130,23,royal blue,,"{""ja"":"""", ""en"": ""royal blue""}"
12352984,50327955,,120,24,violet,,"{""ja"":"""", ""en"": ""violet""}"
12352984,50327955,,139,25,indigo blue,,"{""ja"":"""", ""en"": ""indigo blue""}"
12352984,50327955,,159,26,Prussian blue,,"{""ja"":"""", ""en"": ""Prussian blue""}"
12352984,50327955,,140,27,ultramarine,,"{""ja"":"""", ""en"": ""ultramarine""}"
12352984,50327955,,149,28,night blue,,"{""ja"":"""", ""en"": ""night blue""}"
12352984,50327955,,150,29,sapphire blue,,"{""ja"":"""", ""en"": ""sapphire blue""}"
12352984,50327955,,260,30,blue,,"{""ja"":"""", ""en"": ""blue""}"
12352984,50327955,,169,31,marine blue,,"{""ja"":"""", ""en"": ""marine blue""}"
12352984,50327955,,145,32,bluish grey,,"{""ja"":"""", ""en"": ""bluish grey""}"
12352984,50327955,,370,33,gentian blue,,"{""ja"":"""", ""en"": ""gentian blue""}"
12352984,50327955,,141,34,sky blue,,"{""ja"":"""", ""en"": ""sky blue""}"
12352984,50327955,,155,35,blue jeans,,"{""ja"":"""", ""en"": ""blue jeans""}"
12352984,50327955,,151,36,pastel blue,,"{""ja"":"""", ""en"": ""pastel blue""}"
12352984,50327955,,161,37,light blue,,"{""ja"":"""", ""en"": ""light blue""}"
12352984,50327955,,171,38,turquoise blue,,"{""ja"":"""", ""en"": ""turquoise blue""}"
12352984,50327955,,181,39,light malachite green,,"{""ja"":"""", ""en"": ""light malachite green""}"
12352984,50327955,,191,40,turquoise green,,"{""ja"":"""", ""en"": ""turquoise green""}"
12352984,50327955,,11,41,pale yellow,,"{""ja"":"""", ""en"": ""pale yellow""}"
12352984,50327955,,250,42,canary yellow,,"{""ja"":"""", ""en"": ""canary yellow""}"
12352984,50327955,,240,43,lemon yellow,,"{""ja"":"""", ""en"": ""lemon yellow""}"
12352984,50327955,,21,44,naples yellow,,"{""ja"":"""", ""en"": ""naples yellow""}"
12352984,50327955,,10,45,yellow,,"{""ja"":"""", ""en"": ""yellow""}"
12352984,50327955,,20,46,golden yellow,,"{""ja"":"""", ""en"": ""golden yellow""}"
12352984,50327955,,300,47,fast orange,,"{""ja"":"""", ""en"": ""fast orange""}"
12352984,50327955,,30,48,orange,,"{""ja"":"""", ""en"": ""orange""}"
12352984,50327955,,40,49,reddish orange,,"{""ja"":"""", ""en"": ""reddish orange""}"
12352984,50327955,,50,50,flame red,,"{""ja"":"""", ""en"": ""flame red""}"
12352984,50327955,,60,51,vermilion,,"{""ja"":"""", ""en"": ""vermilion""}"
12352984,50327955,,70,52,scarlet,,"{""ja"":"""", ""en"": ""scarlet""}"
12352984,50327955,,69,53,burnt sienna,,"{""ja"":"""", ""en"": ""burnt sienna""}"
12352984,50327955,,59,54,brown,,"{""ja"":"""", ""en"": ""brown""}"
12352984,50327955,,65,55,russet,,"{""ja"":"""", ""en"": ""russet""}"
12352984,50327955,,63,56,English red,,"{""ja"":"""", ""en"": ""English red""}"
12352984,50327955,,62,57,Venetian red,,"{""ja"":"""", ""en"": ""Venetian red""}"
12352984,50327955,,53,58,hazel,,"{""ja"":"""", ""en"": ""hazel""}"
12352984,50327955,,57,59,chestnut,,"{""ja"":"""", ""en"": ""chestnut""}"
12352984,50327955,,55,60,cinnamon,,"{""ja"":"""", ""en"": ""cinnamon""}"
12352984,50327955,,37,61,brown ochre,,"{""ja"":"""", ""en"": ""brown ochre""}"
12352984,50327955,,35,62,ochre,,"{""ja"":"""", ""en"": ""ochre""}"
12352984,50327955,,33,63,golden ochre,,"{""ja"":"""", ""en"": ""golden ochre""}"
12352984,50327955,,32,64,light ochre,,"{""ja"":"""", ""en"": ""light ochre""}"
12352984,50327955,,31,65,orangish yellow,,"{""ja"":"""", ""en"": ""orangish yellow""}"
12352984,50327955,,491,66,cream,,"{""ja"":"""", ""en"": ""cream""}"
12352984,50327955,,371,67,bluish pale,,"{""ja"":"""", ""en"": ""bluish pale""}"
12352984,50327955,,2,68,silver grey,,"{""ja"":"""", ""en"": ""silver grey""}"
12352984,50327955,,3,69,light grey,,"{""ja"":"""", ""en"": ""light grey""}"
12352984,50327955,,4,70,steel grey,,"{""ja"":"""", ""en"": ""steel grey""}"
12352984,50327955,,6,71,mouse grey,,"{""ja"":"""", ""en"": ""mouse grey""}"
12352984,50327955,,5,72,grey,,"{""ja"":"""", ""en"": ""grey""}"
12352984,50327955,,7,73,dark grey,,"{""ja"":"""", ""en"": ""dark grey""}"
12352984,50327955,,8,74,greyish black,,"{""ja"":"""", ""en"": ""greyish black""}"
12352984,50327955,,495,75,slate grey,,"{""ja"":"""", ""en"": ""slate grey""}"
12352984,50327955,,496,76,ivory black,,"{""ja"":"""", ""en"": ""ivory black""}"
12352984,50327955,,409,77,charcoal grey,,"{""ja"":"""", ""en"": ""charcoal grey""}"
12352984,50327955,,407,78,sepia,,"{""ja"":"""", ""en"": ""sepia""}"
12352984,50327955,,47,79,bistre,,"{""ja"":"""", ""en"": ""bistre""}"
12352984,50327955,,405,80,cocoa,,"{""ja"":"""", ""en"": ""cocoa""}"
12352984,50327955,,160,81,cobalt blue,,"{""ja"":"""", ""en"": ""cobalt blue""}"
12352984,50327955,,170,82,azurite blue,,"{""ja"":"""", ""en"": ""azurite blue""}"
12352984,50327955,,180,83,malachite green,,"{""ja"":"""", ""en"": ""malachite green""}"
12352984,50327955,,190,84,greenish blue,,"{""ja"":"""", ""en"": ""greenish blue""}"
12352984,50327955,,195,85,opaline green,,"{""ja"":"""", ""en"": ""opaline green""}"
12352984,50327955,,211,86,jade green,,"{""ja"":"""", ""en"": ""jade green""}"
12352984,50327955,,215,87,greyish green,,"{""ja"":"""", ""en"": ""greyish green""}"
12352984,50327955,,201,88,Veronese green,,"{""ja"":"""", ""en"": ""Veronese green""}"
12352984,50327955,,460,89,peacock green,,"{""ja"":"""", ""en"": ""peacock green""}"
12352984,50327955,,290,90,empire green,,"{""ja"":"""", ""en"": ""empire green""}"
12352984,50327955,,200,91,bluish green,,"{""ja"":"""", ""en"": ""bluish green""}"
12352984,50327955,,229,92,dark green,,"{""ja"":"""", ""en"": ""dark green""}"
12352984,50327955,,239,93,spruce green,,"{""ja"":"""", ""en"": ""spruce green""}"
12352984,50327955,,210,94,emerald green,,"{""ja"":"""", ""en"": ""emerald green""}"
12352984,50327955,,220,95,grass green,,"{""ja"":"""", ""en"": ""grass green""}"
12352984,50327955,,230,96,yellow green,,"{""ja"":"""", ""en"": ""yellow green""}"
12352984,50327955,,470,97,spring green,,"{""ja"":"""", ""en"": ""spring green""}"
12352984,50327955,,231,98,lime green,,"{""ja"":"""", ""en"": ""lime green""}"
12352984,50327955,,221,99,light green,,"{""ja"":"""", ""en"": ""light green""}"
12352984,50327955,,241,100,light lemon yellow,,"{""ja"":"""", ""en"": ""light lemon yellow""}"
12352984,50327955,,15,101,olive yellow,,"{""ja"":"""", ""en"": ""olive yellow""}"
12352984,50327955,,16,102,khaki green,,"{""ja"":"""", ""en"": ""khaki green""}"
12352984,50327955,,245,103,light olive,,"{""ja"":"""", ""en"": ""light olive""}"
12352984,50327955,,225,104,moss green,,"{""ja"":"""", ""en"": ""moss green""}"
